candidate_id,education_level,degree,branch,graduation_year,cgpa,skills,interests,preferred_sectors,preferred_states,preferred_cities,preferred_location_type,preferred_duration,experience_level,languages,disability_preference,rural_or_urban
CAND2026-00001,Undergraduate,B.Tech,Computer Science,2026,5.8,"[""Python"", ""SQL""]","[""Data Science"", ""Software Development"", ""AI/ML""]","[""IT"", ""Software Development"", ""Data Science"", ""AI/ML""]","[""Karnataka"", ""Maharashtra""]","[""Bengaluru"", ""Nagpur""]",On-site,2,0-1 internship experience,"[""English"", ""Hindi"", ""Kannada""]",Accessible workplace preferred,Rural
CAND2026-00002,Undergraduate,B.Tech,Information Technology,2027,7.1,"[""Python"", ""JavaScript""]","[""Software Development"", ""Cybersecurity"", ""IT""]","[""Software Development"", ""Cybersecurity"", ""IT""]","[""Uttar Pradesh""]","[""Noida""]",Hybrid,3,No prior experience,"[""English"", ""Hindi""]",No preference,Rural
CAND2026-00003,Undergraduate,B.Tech,Artificial Intelligence,2028,8.4,"[""Python"", ""Machine Learning""]","[""AI/ML"", ""Data Science""]","[""AI/ML"", ""Data Science"", ""Software Development""]","[""Bihar""]","[""Patna""]",Remote,3,No prior experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00004,Undergraduate,B.Tech,Mechanical Engineering,2026,5.8,"[""AutoCAD"", ""SolidWorks"", ""Manufacturing"", ""Quality Control""]","[""Manufacturing"", ""Automobile"", ""Infrastructure""]","[""Manufacturing"", ""Automobile"", ""Infrastructure""]","[""Tripura""]","[""Agartala""]",On-site,4,Academic project experience,"[""English"", ""Hindi"", ""Bengali""]",No preference,Urban
CAND2026-00005,Undergraduate,B.Tech,Automobile Engineering,2027,7.1,"[""Automobile Engineering"", ""Diagnostics"", ""AutoCAD"", ""Testing""]","[""Automobile"", ""Manufacturing"", ""Renewable Energy""]","[""Automobile"", ""Manufacturing"", ""Renewable Energy""]","[""Telangana"", ""Tamil Nadu""]","[""Hyderabad"", ""Chennai""]",Hybrid,6,No prior experience,"[""English"", ""Hindi"", ""Telugu""]",No preference,Urban
CAND2026-00006,Undergraduate,B.Tech,Electronics and Communication,2028,8.4,"[""Embedded C"", ""Microcontrollers"", ""Networking"", ""PCB Design""]","[""Electronics"", ""Telecommunications"", ""IT""]","[""Electronics"", ""Telecommunications"", ""IT""]","[""Uttar Pradesh""]","[""Varanasi""]",On-site,2,No prior experience,"[""English"", ""Hindi""]",No preference,Rural
CAND2026-00007,Undergraduate,B.Tech,Electrical Engineering,2026,5.8,"[""Electrical Safety"", ""Solar Energy"", ""AutoCAD"", ""MS Excel""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Jharkhand""]","[""Ranchi""]",Hybrid,3,Academic project experience,"[""English"", ""Hindi""]",No preference,Rural
CAND2026-00008,Undergraduate,B.Com,Commerce,2027,7.1,"[""MS Excel"", ""Accounting"", ""Tally"", ""Financial Analysis"", ""Communication"", ""Documentation""]","[""Finance"", ""Accounting"", ""Banking""]","[""Finance"", ""Banking"", ""Marketing""]","[""Jammu and Kashmir""]","[""Srinagar""]",Remote,3,No prior experience,"[""English"", ""Hindi"", ""Urdu""]",No preference,Urban
CAND2026-00009,Undergraduate,BBA,Business Administration,2028,8.4,"[""MS Excel"", ""Communication"", ""Financial Analysis"", ""Digital Marketing"", ""Project Management"", ""Documentation""]","[""Finance"", ""Marketing"", ""HR""]","[""Finance"", ""Marketing"", ""HR"", ""Logistics""]","[""Maharashtra"", ""Tamil Nadu""]","[""Pune"", ""Madurai""]",On-site,4,No prior experience,"[""English"", ""Hindi"", ""Marathi""]",No preference,Urban
CAND2026-00010,Undergraduate,B.Sc.,Agriculture,2026,5.8,"[""Agriculture"", ""Field Survey"", ""Data Collection"", ""MS Excel"", ""Community Engagement"", ""Communication""]","[""Agriculture Technology"", ""Rural Development"", ""Sustainability""]","[""Agriculture"", ""Rural Development"", ""Renewable Energy""]","[""Rajasthan""]","[""Udaipur""]",Hybrid,6,Academic project experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00011,Undergraduate,B.Sc.,Data Science,2027,7.1,"[""Python"", ""SQL""]","[""Data Science"", ""Business Intelligence"", ""AI/ML""]","[""Data Science"", ""AI/ML"", ""IT""]","[""Madhya Pradesh""]","[""Bhopal""]",On-site,2,No prior experience,"[""English"", ""Hindi""]",No preference,Rural
CAND2026-00012,Undergraduate,BCA,Computer Applications,2028,8.4,"[""Python"", ""JavaScript""]","[""Software Development"", ""IT"", ""Data Science""]","[""Software Development"", ""IT"", ""Data Science""]","[""Himachal Pradesh""]","[""Shimla""]",Hybrid,3,0-1 internship experience,"[""English"", ""Hindi""]",No preference,Rural
CAND2026-00013,Diploma,Diploma,Civil Engineering,2025,7.3,"[""AutoCAD"", ""Site Survey""]","[""Infrastructure"", ""Construction"", ""Urban Development""]","[""Infrastructure"", ""Manufacturing"", ""Renewable Energy""]","[""Maharashtra"", ""Uttar Pradesh""]","[""Mumbai"", ""Noida""]",Remote,3,Academic project experience,"[""Hindi"", ""English"", ""Marathi""]",Accessible workplace preferred,Urban
CAND2026-00014,Diploma,Diploma,Electrical Engineering,2026,8.4,"[""Electrical Safety"", ""Solar Energy"", ""Testing"", ""Troubleshooting""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Renewable Energy"", ""Electronics"", ""Telecommunications""]","[""Gujarat""]","[""Surat""]",On-site,4,No prior experience,"[""Hindi"", ""English"", ""Gujarati""]",No preference,Urban
CAND2026-00015,Undergraduate,BA,Public Administration,2028,8.4,"[""MS Excel"", ""Documentation"", ""Communication"", ""Research""]","[""Government"", ""E-Governance"", ""Rural Development""]","[""Government"", ""E-Governance"", ""Rural Development""]","[""Chhattisgarh""]","[""Raipur""]",Hybrid,6,No prior experience,"[""Hindi"", ""English""]",No preference,Urban
