internship_id,job_title,job_type,company_name,sector,description,required_skills,preferred_education,eligible_branches,cities,states,location_type,stipend,start_date,duration_months,number_of_openings,last_date_to_apply,work_mode,minimum_qualification,experience_required
SIH2026-0001,IT Support,Internship,Pragati Solutions Bengaluru,IT,"Synthetic 2-month it support opportunity supporting it projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bengaluru.","[""Linux"", ""Networking"", ""Troubleshooting"", ""MS Excel""]",BCA / B.Sc. IT / B.Tech,"[""Computer Science"", ""Information Technology"", ""Electronics""]",Bengaluru,Karnataka,Remote,8000,2026-10-01,2,2,2026-09-10,Remote,Graduate,0-1 years preferred
SIH2026-0002,Software Development Intern,Internship,Navbharat Technologies Chennai,Software Development,"Synthetic 3-month software development intern opportunity supporting software development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Chennai.","[""Python"", ""JavaScript"", ""React""]",B.Tech / BCA / MCA,"[""Computer Science"", ""Information Technology"", ""Software Engineering""]",Chennai,Tamil Nadu,On-site,8750,2026-10-04,3,3,2026-09-12,In-office,Graduate,No prior experience required
SIH2026-0003,Data Analytics Intern,Internship,Sampurna Networks Jaipur,Data Science,"Synthetic 3-month data analytics intern opportunity supporting data science projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jaipur.","[""Python"", ""SQL"", ""MS Excel""]",B.Sc. / BCA / B.Tech / MBA,"[""Data Science"", ""Computer Science"", ""Statistics"", ""Mathematics"", ""Commerce""]",Jaipur,Rajasthan,On-site,9500,2026-10-07,3,4,2026-09-14,In-office,Graduate,No prior experience required
SIH2026-0004,Computer Vision Intern,Internship,Udaan Industries Bhubaneswar,AI/ML,"Synthetic 4-month computer vision intern opportunity supporting ai/ml projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bhubaneswar.","[""Python"", ""Machine Learning"", ""Data Analysis""]",B.Tech / M.Tech / M.Sc.,"[""Computer Science"", ""Data Science"", ""Artificial Intelligence"", ""Electronics""]",Bhubaneswar,Odisha,On-site,10250,2026-10-10,4,5,2026-09-16,In-office,Graduate,No prior experience required
SIH2026-0005,Cybersecurity Intern,Internship,Saksham Initiatives Indore,Cybersecurity,"Synthetic 6-month cybersecurity intern opportunity supporting cybersecurity projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Indore.","[""Cybersecurity"", ""Networking"", ""Linux"", ""Python""]",B.Tech / BCA / B.Sc. IT,"[""Computer Science"", ""Information Technology"", ""Cybersecurity"", ""Electronics""]",Indore,Madhya Pradesh,On-site,11000,2026-10-13,6,6,2026-09-18,In-office,Graduate,No prior experience required
SIH2026-0006,Electronics Design Intern,Internship,Nayi Disha Projects Agartala,Electronics,"Synthetic 2-month electronics design intern opportunity supporting electronics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Agartala.","[""Embedded C"", ""Microcontrollers"", ""PCB Design""]",Diploma / B.Tech,"[""Electronics"", ""Electrical Engineering"", ""Instrumentation""]",Agartala,Tripura,Hybrid,11750,2026-10-16,2,7,2026-09-20,Hybrid,Diploma,No prior experience required
SIH2026-0007,Production Planning Intern,Internship,JanMitra Services Visakhapatnam,Manufacturing,"Synthetic 3-month production planning intern opportunity supporting manufacturing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Visakhapatnam.","[""MS Excel"", ""Quality Control"", ""Lean Manufacturing""]",Diploma / B.Tech / BBA,"[""Mechanical Engineering"", ""Industrial Engineering"", ""Production Engineering"", ""Business Administration""]",Visakhapatnam,Andhra Pradesh,On-site,12500,2026-10-19,3,8,2026-09-22,In-office,Diploma,No prior experience required
SIH2026-0008,Automobile Service Intern,Internship,Aarambh Enterprises Warangal,Automobile,"Synthetic 3-month automobile service intern opportunity supporting automobile projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Warangal.","[""Automobile Engineering"", ""Diagnostics"", ""Testing""]",Diploma / B.Tech,"[""Automobile Engineering"", ""Mechanical Engineering"", ""Electrical Engineering""]",Warangal,Telangana,On-site,13250,2026-10-22,3,9,2026-09-24,In-office,Diploma,No prior experience required
SIH2026-0009,Finance Operations Intern,Internship,Vikas Solutions New Delhi,Finance,"Synthetic 4-month finance operations intern opportunity supporting finance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in New Delhi.","[""MS Excel"", ""Financial Analysis"", ""Accounting"", ""Tally""]",B.Com / BBA / MBA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",New Delhi,Delhi,On-site,12000,2026-10-25,4,10,2026-09-26,In-office,Graduate,0-1 years preferred
SIH2026-0010,Branch Operations Intern,Internship,BharatSetu Technologies Surat,Banking,"Synthetic 6-month branch operations intern opportunity supporting banking projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Surat.","[""MS Excel"", ""Customer Service"", ""KYC""]",B.Com / BBA / BA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Surat,Gujarat,On-site,12750,2026-10-28,6,11,2026-09-28,In-office,Graduate,No prior experience required
